grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
General Support Supplemental,55,The Education Trust,2,critical,1/21/2010,1,21,Pilot / Execute
Measures of Effective Teaching Research Site,56,Dallas Independent School District,3,low,1/4/2010,1,4,Pilot / Execute
Accelerated Partnership to Empower Effective Teachers,57,Atlanta Public Schools,3,low,1/13/2010,1,13,Pilot / Execute
TPERF Statewide Education Summit and Legislative Briefing,58,Texas Public Education Reform Foundation,1,critical,10/1/2008,10,1,On-Stream (Last Year)
National Education Forum,59,The Library of Congress,1,low,3/1/2008,3,1,On-Stream (Last Year)
California Collaborative on District Reform Phase 2,60,American Institutes for Research,2,medium,3/1/2008,3,1,On-Stream (Last Year)
Advocacy for Sustained School Reform in the Nation's Capital,61,DC VOICE,2,medium,7/1/2008,7,1,On-Stream (Last Year)
Gates-EdVisions Moving Forward,62,EdVisions Inc,3,high,12/1/2008,12,1,On-Stream (Last Year)
Texas Education Research Support,63,College for All Texans Foundation: Closing the Gaps,3,high,11/1/2008,11,1,On-Stream (Last Year)
TPERF Statewide Education Summit and Legislative Briefing,64,Texas Public Education Reform Foundation,1,critical,10/1/2008,10,1,On-Stream (Last Year)
National Education Forum,65,The Library of Congress,1,critical,3/1/2008,3,1,On-Stream (Last Year)
California Collaborative on District Reform Phase 2,66,American Institutes for Research,2,medium,3/1/2008,3,1,On-Stream (Last Year)
Advocacy for Sustained School Reform in the Nation's Capital,67,DC VOICE,2,critical,7/1/2008,7,1,On-Stream (Last Year)
Gates-EdVisions Moving Forward,68,EdVisions Inc,3,critical,12/1/2008,12,1,On-Stream (Last Year)
Texas Education Research Support,69,College for All Texans Foundation: Closing the Gaps,3,critical,11/1/2008,11,1,On-Stream (Last Year)
TPERF Statewide Education Summit and Legislative Briefing,70,Texas Public Education Reform Foundation,1,low,10/1/2008,10,1,On-Stream (Last Year)
National Education Forum,71,The Library of Congress,1,critical,3/1/2008,3,1,On-Stream (Last Year)
California Collaborative on District Reform Phase 2,72,American Institutes for Research,2,medium,3/1/2008,3,1,On-Stream (Last Year)
Advocacy for Sustained School Reform in the Nation's Capital,73,DC VOICE,2,critical,7/1/2008,7,1,On-Stream (Last Year)
Gates-EdVisions Moving Forward,74,EdVisions Inc,3,critical,12/1/2008,12,1,On-Stream (Last Year)
Texas Education Research Support,75,College for All Texans Foundation: Closing the Gaps,3,high,11/1/2008,11,1,On-Stream (Last Year)
